,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
54,Lagunas,56,PE,1587948940,90,-5.23,-75.68,75.74,2.73
55,Avarua,60,CK,1587948482,74,-21.21,-159.78,82.4,5.82
56,Vokhma,1,RU,1587948941,94,58.93,46.76,27.86,0.92
57,Hilo,1,US,1587948647,58,19.73,-155.09,82.4,9.17
58,Chui,75,UY,1587948649,72,-33.7,-53.46,65.03,14.45
59,Te Anau,82,NZ,1587948682,67,-45.42,167.72,55.6,6.8
60,Kapaa,20,US,1587948644,65,22.08,-159.32,80.6,12.75
61,Baldone,40,LV,1587948942,85,56.74,24.39,37.4,3.36
62,Port Alfred,79,ZA,1587948643,85,-33.59,26.89,66.0,8.99
63,Khatanga,84,RU,1587948679,96,71.97,102.5,20.25,11.41
64,Butaritari,69,KI,1587948642,79,3.07,172.79,82.85,21.47
65,Zhangaözen,17,KZ,1587948943,73,43.3,52.8,52.72,11.59
66,College,1,US,1587948943,20,64.86,-147.8,46.0,3.36
67,Constantine,75,DZ,1587948943,87,36.37,6.61,57.2,0.94
68,Port Elizabeth,20,ZA,1587948480,82,-33.92,25.57,64.4,26.4
69,Zonguldak,42,TR,1587948943,65,41.25,31.83,47.75,4.29
70,Hithadhoo,81,MV,1587948657,77,-0.6,73.08,84.54,9.84
71,Yulara,52,AU,1587948687,56,-25.24,130.99,71.6,18.34
72,Zella-Mehlis,6,DE,1587948944,61,50.65,10.65,48.99,10.29
73,Kodinsk,0,RU,1587948944,50,58.69,99.18,47.82,2.73
74,Mossamedes,0,AO,1587948719,64,-15.2,12.15,72.1,7.76
75,Lagoa,96,PT,1587948730,62,39.05,-27.98,57.07,8.63
76,Bluff,94,NZ,1587948653,77,-46.6,168.33,55.99,11.99
77,Nikolskoye,40,RU,1587948673,80,59.7,30.79,36.0,2.24
78,Riachão das Neves,0,BR,1587948682,74,-11.75,-44.91,69.3,3.74
79,Ponta do Sol,20,PT,1587948675,87,32.67,-17.1,60.8,5.82
80,Sitka,90,US,1587948714,61,57.05,-135.33,48.2,21.92
81,Tasiilaq,100,GL,1587948655,74,65.61,-37.64,33.8,27.51
82,Umluj,0,SA,1587948945,51,25.02,37.27,70.05,8.7
83,Massaguet,100,TD,1587948945,33,12.48,15.44,87.8,4.7
84,Buraidah,0,SA,1587948722,43,26.33,43.98,69.8,10.29
85,Jamestown,90,US,1587948665,100,42.1,-79.24,39.99,10.29
86,Norman Wells,40,CA,1587948646,91,65.28,-126.83,32.0,20.8
87,Korla,0,CN,1587948946,18,41.76,86.15,62.46,3.6
88,Katobu,31,ID,1587948946,78,-4.94,122.53,81.07,1.48
89,Labuhan,94,ID,1587948946,81,-6.88,112.21,80.38,5.26
90,Longyearbyen,0,SJ,1587948646,72,78.22,15.64,14.0,2.24
91,Baharly,100,TM,1587948947,53,38.44,57.43,69.85,9.84
92,Arraial do Cabo,0,BR,1587948636,75,-22.97,-42.03,75.33,11.65
93,Kroya,30,ID,1587948687,82,-7.63,109.25,80.46,4.92
94,Jasper,20,US,1587948944,39,37.2,-94.35,66.99,4.63
95,Constitución,100,CL,1587948678,84,-35.33,-72.42,58.37,9.42
96,Moose Factory,1,CA,1587948947,73,51.26,-80.61,26.6,9.17
97,Rio Grande,100,BR,1587948948,84,-32.03,-52.1,68.0,4.0
98,Nanortalik,66,GL,1587948714,85,60.14,-45.24,35.02,24.74
99,Bredasdorp,100,ZA,1587948671,87,-34.53,20.04,60.8,16.11
100,Huanren,1,CN,1587948948,43,41.26,125.37,49.41,0.96
101,Farnes,95,NO,1587948948,70,61.32,7.8,32.34,3.65
102,Torbay,20,CA,1587948645,55,47.67,-52.73,39.0,12.75
103,Ciudad Gustavo Díaz Ordaz,1,MX,1587948948,31,26.23,-98.58,87.8,14.99
104,Vagay,31,RU,1587948686,59,57.94,69.02,44.87,6.76
105,Faya,10,SA,1587948949,77,18.39,42.45,62.6,4.7
106,Ribeira Grande,100,PT,1587948672,62,38.52,-28.7,57.15,4.29
107,Pacific Grove,1,US,1587948709,45,36.62,-121.92,69.01,13.87
108,Meulaboh,99,ID,1587948707,82,4.14,96.13,78.96,4.16
109,New Norfolk,35,AU,1587948645,47,-42.78,147.06,61.0,11.01
110,Aksarayskiy,9,RU,1587948950,87,46.79,48.01,46.4,4.47
111,Beringovskiy,11,RU,1587948652,93,63.05,179.32,22.84,9.15
112,Methóni,95,GR,1587948950,87,36.82,21.7,57.99,4.7
113,Puerto Ayora,20,EC,1587948668,69,-0.74,-90.35,82.4,13.87
114,Sheridan,75,US,1587948928,28,44.83,-106.92,69.8,8.05
115,Albany,90,US,1587948644,80,42.6,-73.97,41.0,13.87
116,Kütahya,71,TR,1587948951,65,39.42,29.98,44.6,8.05
117,Fortuna,20,US,1587948683,51,40.6,-124.16,64.0,6.93
118,Glace Bay,75,CA,1587948951,64,46.2,-59.96,39.0,9.17
119,Barentu,1,ER,1587948951,47,15.11,37.59,73.8,2.8
120,São João da Barra,1,BR,1587948709,79,-21.64,-41.05,73.42,6.96
121,Saint-Philippe,75,RE,1587948667,73,-21.36,55.77,75.2,5.82
122,Avera,1,US,1587948695,48,33.19,-82.53,62.6,17.22
123,Dikson,79,RU,1587948643,96,73.51,80.55,18.03,9.51
124,Vanavara,60,RU,1587948952,56,60.34,102.28,43.34,8.68
125,Itarema,91,BR,1587948659,87,-2.92,-39.92,77.18,5.79
126,Nuevo Progreso,22,MX,1587948952,69,23.17,-97.95,79.0,8.01
127,Djougou,96,BJ,1587948952,88,9.71,1.67,75.2,2.24
128,Kushmurun,100,KZ,1587948952,51,52.45,64.63,51.87,10.38
129,Janakkala,18,FI,1587948952,93,60.9,24.6,34.0,5.3
130,Bay Roberts,3,CA,1587948953,59,47.6,-53.26,37.99,1.01
131,Springbok,61,ZA,1587948953,50,-29.66,17.89,60.24,3.91
132,Gaoual,85,GN,1587948953,41,11.75,-13.2,84.47,5.93
133,Pedernales,8,DO,1587948953,68,18.04,-71.74,79.56,9.89
134,Concordia,41,AR,1587948953,78,-31.39,-58.02,71.01,11.01
135,Muisne,73,EC,1587948654,84,0.6,-80.03,77.59,7.14
136,Bellavista,38,PE,1587948913,78,-7.06,-76.59,74.84,1.21
137,Lopătari,59,RO,1587948954,75,45.48,26.58,41.0,21.0
138,Taos,1,US,1587948954,11,36.41,-105.57,71.6,21.92
139,Severo-Kuril'sk,100,RU,1587948683,94,50.68,156.12,33.19,12.35
140,Belaya Gora,1,RU,1587948954,97,68.53,146.42,31.17,7.94
141,Seoul,40,KR,1587948797,58,37.57,126.98,57.2,5.21
142,Northam,76,GB,1587948954,93,51.03,-4.22,48.0,1.01
143,Vysokogornyy,96,RU,1587948955,70,50.12,139.15,32.81,3.6
144,Boone,1,US,1587948930,39,39.03,-92.33,66.0,3.36
145,Nome,1,US,1587948659,64,64.5,-165.41,33.8,8.05
146,Yara,16,CU,1587948955,71,20.28,-76.95,79.88,5.46
147,Irituia,100,BR,1587948725,94,-1.77,-47.44,75.18,3.83
148,Tuatapere,88,NZ,1587948704,77,-46.13,167.68,55.99,11.99
149,Moranbah,1,AU,1587948956,40,-22.0,148.05,77.23,16.62
150,Touros,40,BR,1587948654,94,-5.2,-35.46,77.0,3.36
151,Atambua,65,ID,1587948672,68,-9.11,124.89,78.19,2.62
152,Myitkyina,100,MM,1587948956,81,25.38,97.4,68.11,1.99
153,Port Blair,97,IN,1587948730,73,11.67,92.75,84.49,4.5
154,Flinders,31,AU,1587948956,64,-34.58,150.86,72.0,1.99
155,Daru,49,PG,1587948694,84,-9.08,143.21,82.26,11.74
156,Kaseda-shirakame,75,JP,1587948957,67,31.42,130.32,62.6,3.36
157,Silver City,1,US,1587948957,9,32.77,-108.28,84.2,9.17
158,Spassk-Ryazanskiy,99,RU,1587948957,99,54.41,40.38,37.99,3.0
159,Kumul,0,CN,1587948957,13,42.8,93.45,67.75,7.52
160,Provincie Utrecht,11,NL,1587948811,36,52.0,5.25,45.0,3.6
161,Point Pedro,88,LK,1587948957,80,9.82,80.23,83.44,10.6
162,Kaitangata,99,NZ,1587948658,68,-46.28,169.85,55.0,4.0
163,Upernavik,94,GL,1587948660,96,72.79,-56.15,30.02,5.08
164,Acapulco de Juárez,20,MX,1587948958,69,16.86,-99.89,82.4,4.7
165,Kropotkin,71,RU,1587948958,68,45.44,40.58,49.17,15.75
166,Beipiao,34,CN,1587948958,34,41.79,120.78,54.16,5.95
167,Saint-Pierre,75,RE,1587948664,73,-21.34,55.48,75.2,5.82
168,Scarborough,76,GB,1587948958,90,54.28,-0.4,48.99,11.81
169,Asău,81,RO,1587948959,74,46.43,26.4,37.99,1.9
170,Belmonte,40,BR,1587948959,78,-15.86,-38.88,73.4,4.7
171,Sebina,9,BW,1587948959,59,-20.87,27.25,61.72,13.33
172,Geraldton,100,AU,1587948648,60,-28.77,114.6,68.0,10.29
173,Bathsheba,40,BB,1587948959,69,13.22,-59.52,80.6,19.46
174,Saint Paul Harbor,75,US,1587948661,43,57.79,-152.41,51.8,11.41
175,Talas,10,TR,1587948960,69,38.69,35.55,33.8,5.82
176,Grindavik,20,IS,1587948686,80,63.84,-22.43,41.0,2.24
177,Sharan,95,RU,1587948960,59,54.82,54.0,45.81,4.72
178,Matagami,1,CA,1587948960,35,49.75,-77.63,39.2,6.93
179,Antofagasta,90,CL,1587948960,77,-23.65,-70.4,64.4,8.05
180,Cidreira,92,BR,1587948692,86,-30.18,-50.21,69.73,13.94
181,Cherskiy,83,RU,1587948641,97,68.75,161.3,30.36,16.22
182,Tarko-Sale,100,RU,1587948961,92,64.92,77.78,32.0,14.41
183,Laguna,1,US,1587948961,34,38.42,-121.42,82.99,13.87
184,Vao,81,NC,1587948678,73,-22.67,167.48,73.98,19.75
185,Coquimbo,34,CL,1587948961,87,-29.95,-71.34,59.0,3.36
186,Copiapó,2,CL,1587948941,72,-27.37,-70.33,60.8,8.05
187,Koslan,12,RU,1587948962,96,63.46,48.9,27.48,4.09
188,Isetskoye,56,RU,1587948962,58,56.49,65.32,46.31,7.43
189,Terrace Bay,0,CA,1587948962,74,48.78,-87.1,38.89,2.66
190,Barrow,90,US,1587948673,78,71.29,-156.79,15.8,17.22
191,Qasigiannguit,99,GL,1587948962,41,68.82,-51.19,42.8,18.34
192,Talnakh,40,RU,1587948702,86,69.49,88.4,26.6,13.42
193,Vanimo,100,PG,1587948723,77,-2.67,141.3,83.66,5.82
194,Begunitsy,40,RU,1587948963,80,59.59,29.32,35.6,2.24
195,Abalak,28,RU,1587948963,59,58.13,68.59,44.55,7.81
196,Martapura,44,ID,1587948963,87,-3.42,114.85,78.51,2.19
197,Shelburne,1,CA,1587948963,39,44.08,-80.2,50.0,12.75
198,Cabo San Lucas,5,MX,1587948699,21,22.89,-109.91,91.4,11.41
199,Fort Saint James,100,CA,1587948963,41,54.43,-124.25,48.09,8.41
200,Husavik,0,IS,1587948701,77,66.04,-17.34,32.0,2.24
201,Taree,75,AU,1587948964,64,-31.9,152.47,69.8,5.82
202,Umm Hājar,55,TD,1587948964,11,13.3,19.7,84.07,8.68
203,Shīeli,18,KZ,1587948964,50,44.17,66.75,71.62,12.55
204,Bonthe,92,SL,1587948964,84,7.53,-12.51,80.08,6.53
205,Esperance,17,AU,1587948673,76,-33.87,121.9,57.2,12.75
206,Zadar,0,HR,1587948965,100,44.12,15.24,46.4,3.36
207,Bima,88,ID,1587948965,77,-8.47,118.72,80.8,2.93
208,George Town,20,MY,1587948653,88,5.41,100.34,78.8,3.36
209,Alma,20,CA,1587948965,44,48.55,-71.65,39.2,6.93
210,Ucluelet,90,CA,1587948773,87,48.93,-125.55,50.0,16.11
211,Novy Urengoy,100,RU,1587948965,98,66.08,76.63,28.17,10.6
212,Marrakesh,60,MA,1587948820,72,31.63,-8.01,59.0,6.93
213,Huilong,0,CN,1587948937,65,31.81,121.66,62.01,4.0
214,Bambous Virieux,8,MU,1587948651,91,-20.34,57.76,73.99,1.01
215,Saldanha,100,ZA,1587948726,77,-33.01,17.94,64.4,19.46
216,Srikakulam,97,IN,1587948966,84,18.3,83.9,79.45,7.18
217,Lüderitz,0,NA,1587948966,93,-26.65,15.16,59.0,13.87
218,Shimoda,75,JP,1587948689,72,34.67,138.95,66.0,10.29
219,Boysun,0,UZ,1587948967,34,38.21,67.2,59.88,3.09
220,Maitum,75,PH,1587948967,66,6.04,124.5,84.2,4.7
221,Bantou,99,CN,1587948967,51,26.22,117.49,69.85,1.07
222,Kovdor,77,RU,1587948967,96,67.57,30.48,22.82,5.82
223,Thinadhoo,66,MV,1587948967,76,0.53,72.93,84.92,10.36
224,Okhotsk,0,RU,1587948643,74,59.38,143.3,37.63,5.46
225,Clyde River,90,CA,1587948661,79,70.47,-68.59,23.0,12.75
226,Laramie,75,US,1587948729,40,41.31,-105.59,53.6,31.09
227,Along,84,IN,1587948968,61,28.17,94.77,63.97,4.0
228,Port-Cartier,20,CA,1587948968,35,50.03,-66.87,39.99,9.17
229,Peniche,14,PT,1587948968,89,39.36,-9.38,54.0,4.41
230,Taseyevo,2,RU,1587948754,58,57.22,94.9,47.44,0.74
231,Algiers,20,DZ,1587948968,93,36.75,3.04,55.4,5.08
232,Batagay-Alyta,77,RU,1587948690,73,67.8,130.41,31.62,12.5
233,Namatanai,85,PG,1587948690,72,-3.67,152.43,83.88,8.19
234,Shingū,40,JP,1587948675,63,33.73,135.98,60.8,10.29
235,Vila Franca do Campo,20,PT,1587948656,66,37.72,-25.43,55.4,5.82
236,Mugango,90,TZ,1587948969,60,-1.68,33.7,69.15,4.76
237,Kytmanovo,100,RU,1587948969,52,53.46,85.45,46.53,4.72
238,Porto-Novo,20,BJ,1587948969,88,6.5,2.6,78.8,2.24
239,Bethel,90,US,1587948650,93,41.37,-73.41,44.01,9.17
240,Sunagawa,75,JP,1587948970,59,43.49,141.91,46.4,3.36
241,Ledyard Center,90,US,1587948970,93,41.44,-72.01,44.6,17.22
242,Atbasar,99,KZ,1587948970,60,51.8,68.33,48.96,11.16
243,Goya,94,AR,1587948970,86,-29.14,-59.26,74.12,8.75
244,Thompson,90,CA,1587948648,87,55.74,-97.86,44.6,6.93
245,Hofn,56,IS,1587948705,82,64.25,-15.21,34.79,4.76
246,Prince Rupert,90,CA,1587948970,71,54.32,-130.32,44.6,21.92
247,Karangampel,97,ID,1587948971,79,-6.46,108.45,81.63,5.39
248,Cayenne,90,GF,1587948666,100,4.93,-52.33,77.0,8.99
249,Rozivka,8,UA,1587948971,74,46.94,35.77,43.61,12.17
250,Luanda,40,AO,1587948971,83,-8.84,13.23,77.0,6.93
251,Durant,1,US,1587948815,46,33.99,-96.37,72.0,6.93
252,Billings Metropolitan Area,40,US,1587948908,14,45.78,-108.5,71.01,17.22
253,Kiryat Gat,16,IL,1587948423,76,31.61,34.76,57.0,1.86
254,Poiana Teiului,97,RO,1587948972,39,47.1,25.97,43.0,0.4
255,Corning,90,US,1587948740,100,42.14,-77.05,37.4,8.05
256,Sibu,75,MY,1587948665,94,2.3,111.82,77.0,3.36
257,Chālūs,90,IR,1587948972,100,36.66,51.42,55.4,5.95
258,Flagstaff,1,US,1587948770,13,35.2,-111.65,72.0,19.46
259,Quelimane,0,MZ,1587948904,88,-17.88,36.89,71.31,4.43
260,Grand Gaube,0,MU,1587948645,91,-20.01,57.66,73.99,1.01
261,Barra Patuca,23,HN,1587948973,75,15.8,-84.28,82.49,15.43
262,Bodmin,67,GB,1587948854,93,50.47,-4.72,48.2,1.12
263,Lufilufi,75,WS,1587948973,84,-13.87,-171.6,86.0,9.17
264,Le Port,20,RE,1587948729,83,-20.94,55.29,73.4,5.82
265,Marsá Maţrūḩ,57,EG,1587948974,67,31.35,27.25,60.8,6.93
266,Beihai,82,CN,1587948974,68,21.48,109.1,70.97,11.32
267,Fairbanks,1,US,1587948692,24,64.84,-147.72,46.0,4.7
268,Ozinki,29,RU,1587948974,78,51.18,49.68,45.81,2.98
269,Brae,88,GB,1587948974,80,60.4,-1.35,41.0,11.41
270,Ust-Tsilma,90,RU,1587948974,97,65.44,52.15,28.69,3.04
271,Tigil',19,RU,1587948975,89,57.8,158.67,32.79,6.46
272,Hirara,75,JP,1587948975,83,24.8,125.28,73.4,10.29
273,Opuwo,22,NA,1587948975,41,-18.06,13.84,63.05,3.36
274,Hambantota,40,LK,1587948700,100,6.12,81.12,77.0,9.35
275,Catuday,62,PH,1587948975,75,16.29,119.81,82.09,6.08
276,Pemangkat,99,ID,1587948728,83,1.17,108.97,78.57,3.62
277,Imbituba,59,BR,1587948976,73,-28.24,-48.67,73.4,2.24
278,Yershichi,14,RU,1587948976,80,53.67,32.75,34.61,5.91
279,Pevek,85,RU,1587948652,94,69.7,170.31,19.4,12.21
280,Saint-Michel-des-Saints,100,CA,1587948976,3,46.68,-73.92,44.01,1.99
281,Bengkulu,100,ID,1587948666,84,-3.8,102.27,77.36,5.61
282,Alofi,49,NU,1587948707,70,-19.06,-169.92,86.0,9.17
283,Mehamn,100,NO,1587948976,97,71.04,27.85,29.73,18.79
284,San Bartolomé de Tirajana,20,ES,1587948977,68,27.92,-15.57,64.4,4.7
285,Bumba,100,CD,1587948977,88,2.18,22.47,70.81,5.41
286,Negombo,40,LK,1587948977,94,7.21,79.84,80.6,2.24
287,Netanya,3,IL,1587948977,76,32.33,34.86,57.0,3.36
288,Tromsø,75,NO,1587948977,95,69.65,18.96,32.0,18.34
289,Saddiqabad,0,PK,1587948977,24,28.31,70.13,85.48,2.1
290,Camacha,40,PT,1587948700,88,33.08,-16.33,62.6,9.17
291,Mananara,46,MG,1587948978,85,-16.17,49.77,77.23,1.83
292,Conde,100,BR,1587948978,94,-7.26,-34.91,78.8,3.36
293,Naze,75,JP,1587948702,72,28.37,129.48,68.0,2.24
294,Vulcan,5,RO,1587948978,61,45.38,23.27,35.24,1.23
295,Grand Forks,90,US,1587948978,48,47.93,-97.03,62.6,10.29
296,Oskaloosa,1,US,1587948979,37,41.3,-92.64,66.2,10.29
297,Mondlo,55,ZA,1587948979,69,-27.98,30.72,53.37,1.48
298,Santa Isabel Rio Negro,48,BR,1587948979,93,-0.41,-65.02,76.37,2.39
299,Sambava,51,MG,1587948979,88,-14.27,50.17,77.13,4.56
300,Ayan,2,RU,1587948979,75,56.45,138.17,36.36,3.96
301,Kahului,40,US,1587948650,48,20.89,-156.47,84.2,21.92
302,Great Yarmouth,19,GB,1587948979,96,52.61,1.73,48.0,1.99
303,Nara,40,JP,1587948980,55,34.69,135.8,62.01,5.82
304,Chernyshevskiy,25,RU,1587948668,80,63.01,112.47,30.9,7.81
305,Kosh-Agach,86,RU,1587948980,26,50.0,88.67,44.19,0.56
306,Palmer,90,US,1587948980,86,42.16,-72.33,43.0,18.34
307,Leningradskiy,17,RU,1587948688,92,69.38,178.42,20.07,3.44
308,São Filipe,89,CV,1587948657,75,14.9,-24.5,72.93,11.01
309,Nidzica,31,PL,1587948981,70,53.36,20.43,37.44,2.55
310,Kruisfontein,97,ZA,1587948646,79,-34.0,24.73,61.99,18.88
311,Isangel,75,VU,1587948721,61,-19.55,169.27,82.4,9.17
312,Bentiu,83,SS,1587948845,25,9.23,29.83,84.69,0.25
313,Pekalongan,13,ID,1587948981,77,-6.89,109.68,80.33,4.79
314,Srednekolymsk,28,RU,1587948981,98,67.45,153.68,32.47,4.14
315,Matara,34,LK,1587948982,89,5.95,80.54,79.02,5.19
316,Henties Bay,7,NA,1587948982,95,-22.12,14.28,57.99,3.2
317,Butterworth,20,MY,1587948983,88,5.4,100.36,78.8,3.36
318,Port-Gentil,88,GA,1587948676,82,-0.72,8.78,81.23,12.12
319,Port Lincoln,26,AU,1587948983,63,-34.73,135.87,59.61,3.24
320,Dongsheng,0,CN,1587948984,21,39.82,109.98,50.02,1.61
321,Vytegra,93,RU,1587948984,96,61.01,36.45,30.92,5.03
322,Yangi Marg`ilon,3,UZ,1587948657,55,40.43,71.72,62.6,4.7
323,Padang,100,ID,1587948711,84,-0.95,100.35,76.41,2.64
324,Pudozh,73,RU,1587948984,97,61.81,36.53,28.45,1.72
325,Calama,0,CL,1587948715,16,-22.47,-68.93,66.2,10.29
326,Salekhard,93,RU,1587948984,98,66.53,66.6,28.74,1.59
327,Rome,90,US,1587948833,87,43.21,-75.46,42.8,3.36
328,Pangnirtung,67,CA,1587948985,95,66.15,-65.71,22.6,3.42
329,Yarke Pole,8,UA,1587948985,72,45.61,34.32,45.41,10.2
330,Narsaq,36,GL,1587948986,24,60.92,-46.05,46.4,43.62
331,Soe,45,ID,1587948986,67,-9.86,124.28,71.67,2.48
332,Sorong,100,ID,1587948820,81,-0.88,131.25,82.87,2.93
333,The Valley,20,AI,1587948504,74,18.22,-63.06,80.6,17.22
334,San Felipe,24,VE,1587948987,78,10.34,-68.74,74.35,5.59
335,Karratha,63,AU,1587948987,42,-20.74,116.85,87.48,16.71
336,Jaciara,3,BR,1587948987,81,-15.97,-54.97,72.5,0.72
337,Dingle,88,PH,1587948650,74,11.0,122.67,83.07,12.64
338,Matamoros,0,MX,1587948987,27,25.53,-103.25,89.01,16.67
339,Lompoc,1,US,1587948667,68,34.64,-120.46,75.99,17.22
340,Kieta,44,PG,1587948987,59,-6.22,155.63,87.39,2.64
341,Ust'-Tarka,0,RU,1587948677,62,55.57,75.7,46.92,4.43
342,Comodoro Rivadavia,75,AR,1587948508,93,-45.87,-67.5,57.2,4.7
343,Chapais,1,CA,1587948712,40,49.78,-74.85,33.8,5.82
344,Panlaitan,85,PH,1587948988,69,12.12,119.85,85.39,7.56
345,Saint George,1,US,1587948431,16,37.1,-113.58,86.0,10.29
346,Kaduy,96,RU,1587948989,90,59.2,37.15,32.07,2.68
347,Nirasaki,66,JP,1587948989,36,35.7,138.45,61.72,1.41
348,Boyolangu,55,ID,1587948989,82,-8.12,111.89,78.85,2.89
349,Amalāpuram,92,IN,1587948661,85,16.58,82.02,81.5,5.26
350,Harsīn,40,IR,1587948989,76,34.27,47.59,48.2,9.17
351,Khovu-Aksy,96,RU,1587948990,36,51.13,93.6,51.3,0.6
352,Tabou,100,CI,1587948673,90,4.42,-7.35,77.47,10.2
353,Saint-François,1,FR,1587948681,87,46.42,3.91,46.4,2.24
354,Vestmanna,80,FO,1587948990,69,62.16,-7.17,39.2,10.29
355,Zeya,98,RU,1587948990,46,53.75,127.27,46.8,0.36
356,Novooleksiyivka,2,UA,1587948990,67,46.23,34.64,47.88,15.28
357,Drexel Heights,1,US,1587948990,6,32.14,-111.03,98.6,4.7
358,Bolu Province,57,TR,1587948991,47,40.67,31.58,48.04,1.03
359,Mahon,10,ES,1587948991,93,39.89,4.27,59.0,4.7
360,Faanui,21,PF,1587948644,70,-16.48,-151.75,83.3,13.35
361,Lingao,85,CN,1587948991,67,19.91,109.69,73.29,6.85
362,Delvinë,40,AL,1587948991,81,39.95,20.1,55.99,2.75
363,High Level,75,CA,1587948991,51,58.52,-117.14,35.6,2.24
364,Sept-Îles,20,CA,1587948991,35,50.2,-66.38,39.99,9.17
365,Roald,3,NO,1587948641,75,62.58,6.13,42.01,18.34
366,Guerrero Negro,0,MX,1587948685,50,27.98,-114.06,76.37,15.61
367,Lempäälä,5,FI,1587948992,69,61.32,23.75,34.0,3.36
368,Lorengau,52,PG,1587948664,71,-2.02,147.27,85.78,7.74
369,Province of Trapani,75,IT,1587948992,87,37.83,12.67,66.0,2.24
370,Assiut,0,EG,1587948682,52,27.18,31.18,64.4,9.17
371,Peleduy,0,RU,1587948686,67,59.63,112.74,40.14,3.2
372,Tazovsky,100,RU,1587948993,96,67.47,78.7,21.61,6.04
373,Philadelphia,90,US,1587948964,87,39.95,-75.16,48.2,9.17
374,Charagua,94,BO,1587948993,50,-19.8,-63.22,74.17,4.05
